sprechrolleID	hörspielID	rolleID	position
1	1	1	1
2	1	2	2
3	1	3	3
4	1	4	4
5	1	5	5
6	1	6	6
7	1	7	7
8	1	8	8
9	1	9	9
10	1	10	10
11	1	11	11
12	1	12	12
13	2	1	1
14	2	2	2
15	2	3	3
16	2	4	4
17	2	13	5
18	2	14	6
19	2	15	7
20	2	16	8
21	2	17	9
22	2	18	10
23	2	19	11
24	2	20	12
25	2	21	13
26	2	22	14
27	3	1	1
28	3	2	2
29	3	3	3
30	3	4	4
31	3	23	5
32	3	24	6
33	3	25	7
34	3	26	8
35	3	27	9
36	3	28	10
37	3	29	11
38	3	30	12
39	3	31	13
40	4	1	1
41	4	2	2
42	4	3	3
43	4	4	4
44	4	32	5
45	4	33	6
46	4	34	7
47	4	35	8
48	4	36	9
49	4	37	10
50	4	38	11
51	4	39	12
52	4	40	13
53	4	41	14
54	4	42	15
55	4	43	16
56	5	1	1
57	5	2	2
58	5	3	3
59	5	4	4
60	5	44	5
61	5	13	6
62	5	45	7
63	5	46	8
64	5	47	9
65	5	48	10
66	5	49	11
67	5	14	12
68	5	50	13
69	6	1	1
70	6	2	2
71	6	3	3
72	6	4	4
73	6	13	5
74	6	14	6
75	6	51	7
76	6	52	8
77	6	39	9
78	6	53	10
79	6	54	11
80	6	55	12
81	6	56	13
82	6	57	14
83	6	58	15
84	7	1	1
85	7	2	2
86	7	3	3
87	7	4	4
88	7	59	5
89	7	60	6
90	7	61	7
91	7	62	8
92	7	63	9
93	7	64	10
94	8	1	1
95	8	2	2
96	8	3	3
97	8	4	4
98	8	65	5
99	8	14	6
100	8	66	7
101	8	67	8
102	8	39	9
103	8	68	10
104	8	69	11
105	8	70	12
106	8	71	13
107	8	72	14
108	8	31	15
109	9	1	1
110	9	2	2
111	9	3	3
112	9	4	4
113	9	73	5
114	9	13	6
115	9	74	7
116	9	75	8
117	9	76	9
118	9	77	10
119	9	78	11
120	9	79	12
121	9	80	13
122	9	39	14
123	10	1	1
124	10	2	2
125	10	3	3
126	10	4	4
127	10	13	5
128	10	81	6
129	10	82	7
130	10	83	8
131	10	84	9
132	10	85	10
133	10	86	11
134	10	87	12
135	10	47	13
136	10	88	14
137	11	1	1
138	11	2	2
139	11	3	3
140	11	4	4
141	11	13	5
142	11	89	6
143	11	79	7
144	11	54	8
145	11	12	9
146	12	1	1
147	12	2	2
148	12	3	3
149	12	4	4
150	12	90	5
151	12	91	6
152	12	87	7
153	12	92	8
154	12	93	9
155	12	94	10
156	12	9	11
157	12	95	12
158	12	96	13
159	12	11	14
160	12	39	15
161	12	97	16
162	13	1	1
163	13	2	2
164	13	3	3
165	13	4	4
166	13	13	5
167	13	98	6
168	13	99	7
169	13	100	8
170	13	101	9
171	13	79	10
172	13	102	11
173	13	39	12
174	13	103	13
175	13	12	14
176	13	31	15
177	14	1	1
178	14	2	2
179	14	3	3
180	14	4	4
181	14	104	5
182	14	105	6
183	14	81	7
184	14	106	8
185	14	107	9
186	14	108	10
187	14	109	11
188	14	110	12
189	14	31	13
190	14	111	14
191	15	1	1
192	15	2	2
193	15	3	3
194	15	4	4
195	15	13	5
196	15	73	6
197	15	112	7
198	15	113	8
199	15	114	9
200	15	115	10
201	15	116	11
202	15	117	12
203	15	12	13
204	15	118	14
205	15	119	15
206	16	1	1
207	16	2	2
208	16	3	3
209	16	4	4
210	16	120	5
211	16	121	6
212	16	122	7
213	16	123	8
214	16	12	9
215	16	73	10
216	16	124	11
217	16	125	12
218	17	1	1
219	17	2	2
220	17	3	3
221	17	4	4
222	17	39	5
223	17	79	6
224	17	126	7
225	17	127	8
226	17	128	9
227	17	129	10
228	17	130	11
229	17	131	12
230	17	132	13
231	18	1	1
232	18	2	2
233	18	3	3
234	18	4	4
235	18	133	5
236	18	134	6
237	18	135	7
238	18	136	8
239	18	137	9
240	18	138	10
241	18	139	11
242	18	140	12
243	18	141	13
244	18	142	14
245	18	143	15
246	19	1	1
247	19	2	2
248	19	3	3
249	19	4	4
250	19	144	5
251	19	145	6
252	19	146	7
253	19	147	8
254	19	148	9
255	19	149	10
256	19	150	11
257	19	151	12
258	19	152	13
259	20	1	1
260	20	2	2
261	20	3	3
262	20	4	4
263	20	39	5
264	20	13	6
265	20	153	7
266	20	154	8
267	20	155	9
268	20	156	10
269	20	157	11
270	20	158	12
271	20	12	13
272	20	31	14
273	21	1	1
274	21	2	2
275	21	3	3
276	21	4	4
277	21	145	5
278	21	159	6
279	21	160	7
280	21	161	8
281	21	162	9
282	21	163	10
283	21	164	11
284	21	165	12
285	21	166	13
286	21	167	14
287	21	168	15
288	22	1	1
289	22	2	2
290	22	3	3
291	22	4	4
292	22	169	5
293	22	170	6
294	22	171	7
295	22	172	8
296	22	81	9
297	22	13	10
298	22	173	11
299	22	174	12
300	22	175	13
301	22	176	14
302	22	177	15
303	22	178	16
304	23	1	1
305	23	2	2
306	23	3	3
307	23	4	4
308	23	79	5
309	23	179	6
310	23	180	7
311	23	181	8
312	23	73	9
313	23	182	10
314	23	183	11
315	23	184	12
316	23	185	13
317	23	186	14
318	23	136	15
319	24	1	1
320	24	2	2
321	24	3	3
322	24	4	4
323	24	187	5
